plz,ort,landkreis,latitude,longitude,fluvial,AEP,floodrisk
85055.0,Ingolstadt,,48.76559517843039,11.445235253603848,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.80707873035008,11.399047380922644,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.7890148541274,11.416272753808153,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.76921417542341,11.464643816365323,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.78541971751528,11.442315075640142,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.79050964134024,11.43490670820081,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.798989284725344,11.446481000121022,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.78126901582882,11.49579674301489,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.787018569054645,11.430520851959049,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.796463758222885,11.44404296565013,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.76696288624255,11.458339620677535,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.79560105625861,11.38868978385246,"44,60%","0,0058885",Low
85055.0,Ingolstadt,,48.81105574064127,11.401859643944048,"44,60%","0,0058885",Low
85049.0,Ingolstadt,,48.76223560674088,11.387349187682931,"44,60%","0,0058885",Low
85049.0,Ingolstadt,,48.75780543612541,11.409699872786007,"44,60%","0,0058885",Low
85049.0,Ingolstadt,,48.77050548409929,11.318659057287547,"44,60%","0,0058885",Low
85049.0,Ingolstadt,,48.765982205644335,11.372986729382603,"44,60%","0,0058885",Low
85049.0,Ingolstadt,,48.78140337114619,11.266508774691356,"44,60%","0,0058885",Low
85049.0,Ingolstadt,,48.759072394667754,11.340124667445329,"44,60%","0,0058885",Low
85049.0,Ingolstadt,,48.760323689583245,11.309857832466651,"44,60%","0,0058885",Low
85049.0,Ingolstadt,,48.749514659808945,11.330427762627117,"44,60%","0,0058885",Low
85049.0,Ingolstadt,,48.767753566747274,11.328705713245565,"44,60%","0,0058885",Low
85057.0,Ingolstadt,,48.7911900372136,11.394072729875434,"44,60%","0,0058885",Low
85057.0,Ingolstadt,,48.76978644687851,11.398440492073883,"44,60%","0,0058885",Low
85057.0,Ingolstadt,,48.77983887495318,11.420301094780722,"44,60%","0,0058885",Low
85057.0,Ingolstadt,,48.77337143018483,11.40723753039706,"44,60%","0,0058885",Low
85057.0,Ingolstadt,,48.78735252328668,11.41510743712506,"44,60%","0,0058885",Low
85057.0,Ingolstadt,,48.78980633630352,11.406024794861683,"44,60%","0,0058885",Low
85057.0,Ingolstadt,,48.77461056290549,11.428528064315847,"44,60%","0,0058885",Low
85057.0,Ingolstadt,,48.78274926171741,11.400083328228844,"44,60%","0,0058885",Low
85057.0,Ingolstadt,,48.79338700540743,11.387527165353045,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.72800204151585,11.327784617908916,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.7167303056438,11.417183352767731,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.711349357446636,11.416216393789533,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.73025438777671,11.388207505646333,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.71165768714513,11.39836959635487,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.73134837750123,11.412186211182778,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.74115773725141,11.435812172230586,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.69748509521917,11.407360595082709,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.68794469127741,11.382693350563287,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.71038905503406,11.423153127782365,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.737149195665644,11.399133725703106,"44,60%","0,0058885",Low
85051.0,Ingolstadt,,48.718539253797964,11.367374415064575,"44,60%","0,0058885",Low
85053.0,Ingolstadt,,48.72802690680463,11.485152871393103,"44,60%","0,0058885",Low
85053.0,Ingolstadt,,48.74209153822867,11.501223801244961,"44,60%","0,0058885",Low
85053.0,Ingolstadt,,48.756660280674275,11.473090555880677,"44,60%","0,0058885",Low
85053.0,Ingolstadt,,48.750721351130146,11.436823262312322,"44,60%","0,0058885",Low
85053.0,Ingolstadt,,48.72797003021169,11.468878069394483,"44,60%","0,0058885",Low
85053.0,Ingolstadt,,48.73929301845538,11.500648926214538,"44,60%","0,0058885",Low
85053.0,Ingolstadt,,48.7431692191653,11.458472968289279,"44,60%","0,0058885",Low
83026.0,Rosenheim,,47.817046271120255,12.113621598930091,"38,80%","0,004898194",Low
83026.0,Rosenheim,,47.83144230919183,12.131251993926599,"38,80%","0,004898194",Low
83026.0,Rosenheim,,47.8457756848197,12.10234060180741,"38,80%","0,004898194",Low
83026.0,Rosenheim,,47.8259650885365,12.137287702074078,"38,80%","0,004898194",Low
83026.0,Rosenheim,,47.816776032802274,12.031236255251505,"38,80%","0,004898194",Low
83026.0,Rosenheim,,47.815016899177856,12.091329240384969,"38,80%","0,004898194",Low
83026.0,Rosenheim,,47.81760575165292,12.069111700699144,"38,80%","0,004898194",Low
83026.0,Rosenheim,,47.83708963006148,12.144377487638772,"38,80%","0,004898194",Low
83026.0,Rosenheim,,47.82077800894871,12.122142908042955,"38,80%","0,004898194",Low
83022.0,Rosenheim,,47.852187136590096,12.122246931888387,"38,80%","0,004898194",Low
83022.0,Rosenheim,,47.848861728502044,12.131159946742088,"38,80%","0,004898194",Low
83022.0,Rosenheim,,47.856779171384154,12.124366625379043,"38,80%","0,004898194",Low
83022.0,Rosenheim,,47.85544141870773,12.139454257277666,"38,80%","0,004898194",Low
83022.0,Rosenheim,,47.86329161505811,12.117220344099668,"38,80%","0,004898194",Low
83022.0,Rosenheim,,47.86256262112948,12.126230511648034,"38,80%","0,004898194",Low
83022.0,Rosenheim,,47.854142253742076,12.134099087907087,"38,80%","0,004898194",Low
83022.0,Rosenheim,,47.86047648627752,12.111446901505223,"38,80%","0,004898194",Low
83024.0,Rosenheim,,47.86881300496738,12.118108011601228,"38,80%","0,004898194",Low
83024.0,Rosenheim,,47.862855627524354,12.105104956355515,"38,80%","0,004898194",Low
83024.0,Rosenheim,,47.87211986467078,12.132315206558294,"38,80%","0,004898194",Low
83024.0,Rosenheim,,47.88027503419145,12.121552880952224,"38,80%","0,004898194",Low
83024.0,Rosenheim,,47.86263353543773,12.08011649374269,"38,80%","0,004898194",Low
83024.0,Rosenheim,,47.881825997422965,12.112530606292374,"38,80%","0,004898194",Low
83024.0,Rosenheim,,47.87561052893622,12.120979118721452,"38,80%","0,004898194",Low
94315.0,Straubing,,48.891651388583,12.60936844582397,"35,20%","0,004329247",Low
94315.0,Straubing,,48.8887274091684,12.549595207246774,"35,20%","0,004329247",Low
94315.0,Straubing,,48.898522753630914,12.529795905296897,"35,20%","0,004329247",Low
94315.0,Straubing,,48.918222753863446,12.566274073607714,"35,20%","0,004329247",Low
94315.0,Straubing,,48.869504943252394,12.647771590139133,"35,20%","0,004329247",Low
94315.0,Straubing,,48.8886160580522,12.64119944989565,"35,20%","0,004329247",Low
94315.0,Straubing,,48.903326754300764,12.55136751822088,"35,20%","0,004329247",Low
94315.0,Straubing,,48.86735388950187,12.64059994478593,"35,20%","0,004329247",Low
94315.0,Straubing,,48.86094616853589,12.513603818829093,"35,20%","0,004329247",Low
94315.0,Straubing,,48.91529961300934,12.572429504616368,"35,20%","0,004329247",Low
